olympics_loc, year, event, gender, group, country, athlete_name, result
Paris, 1900, 1000m Freestyle, Men, Swimming,GBR, John Arthur Jarvis, 00:13:40.200
Paris, 1900, 1000m Freestyle, Men,Swimming,AUT, Otto Wahle, 00:14:53.600
Paris, 1900, 1000m Freestyle, Men, Swimming,HUN, Zoltan Halmay, 00:15:16.400
Paris, 1900, 1000m Freestyle, Men, Swimming,GER, Max Hainle, 00:15:22.600
Paris, 1900, 1000m Freestyle, Men,Swimming,FRA, Louis Martin, 00:16:30.400
Paris, 1900, 1000m Freestyle, Men, Swimming,FRA, Georges Leuillieux, 00:16:53.200
Paris, 1900, 1000m Freestyle, Men,Swimming, FRA, Maurice Hochepied, 00:16:53.400
Paris, 1900, 1000m Freestyle, Men, Swimming,FRA, Jules Verbecke, 00:17:13.800
Paris, 1900, 1000m Freestyle, Men, Swimming,SWE, Erik Eriksson, 00:17:50.000
Paris, 1900, 200m Backstroke, Men, Swimming, GER, Ernst Hoppenberg, 00:02:47.000
Paris, 1900, 200m Backstroke, Men, Swimming,AUT, Karl Ruberl, 00:02:56.000
Paris, 1900, 200m Backstroke, Men,  Swimming,NED, Johannes Drost, 00:03:01.000
Paris, 1900, 200m Backstroke, Men, Swimming, NED, Johannes Dirk Bloemen, 00:03:02.200
Paris, 1900, 200m Backstroke, Men, Swimming, FRA, Bill Burgess, 00:03:12.000
Paris, 1900, 200m Backstroke, Men, Swimming, FRA, De Romand De Romand, 00:03:38.000
Paris, 1900, 200m Backstroke, Men, Swimming, ITA, Paolo Bussetti, 00:03:45.000
Paris, 1900, 200m Backstroke, Men, Swimming, SWE, Erik Eriksson, 00:03:56.400
Paris, 1900, 4000m Freestyle, Men, Swimming, GBR, John Arthur Jarvis, 00:58:24.000
Paris, 1900, 4000m Freestyle, Men,Swimming, HUN, Zoltan Halmay, 01:08:55.400
Paris, 1900, 4000m Freestyle, Men, Swimming, FRA, Louis Martin, 01:13:08.400
Paris,1900,4000m Freestyle,Men,Swimming,GBR,Jarvis,00:58:24.00
Paris,1900,4000m Freestyle,Men,swimming,HUN,Halmay,01:08:55.40
Paris,1900,4000m Freestyle,Men,swimming,FRA,Martin,01:13:08.40
Paris,1900,4000m Freestyle,Men,swimming,FRA,Burgess,01:15:07.60
Paris,1900,4000m Freestyle,Men,swimming,NED,Meijer,01:16:37.20
Paris,1900,4000m Freestyle,Men,swimming,ITA,Maioni,01:18:25.40
Paris,1900,4000m Freestyle,Men,swimming,FRA,Martin,01:26:32.20
Paris,1900,200m Freestyle,Men,Swimming,GBR,Lane,00:02:25.20
Paris,1900,200m Freestyle,Men,Swimming,HUN,Halmay,00:02:31.40
Paris,1900,200m Freestyle,Men,Swimming,AUT,Ruberl,00:02:32.00
Paris,1900,200m Freestyle,Men,Swimming,GBR,Crawshaw,00:02:45.60
Paris,1900,200m Freestyle,Men,Swimming,FRA,Hochepied,00:02:53.00
Paris,1900,200m Freestyle,Men,Swimming,GBR,Stapleton,00:02:55.00
Paris,1900,200m Freestyle,Men,Swimming,FRA,Clevenot,00:02:56.20
Paris,1900,200m Freestyle,Men,Swimming,GER,Frey,00:02:58.20


St.Louis,1904,100m Backstroke,Men,Swimming,GER,Brack,00:01:16.80
St.Louis,1904,100m Freestyle,Men,Swimming,HUN,Halmay,00:01:02.80
St.Louis,1904,400m Breaststroke,Men,Swimming,GER,Zacharias,00:07:23.60
St.Louis,1904,400m Freestyle,Men,Swimming,USA,Daniels,00:06:16.20
St.Louis,1904,400m Freestyle,Men,Swimming,USA,Gailey,00:06:22.00
St.Louis,1904,400m Freestyle,Men,Swimming,USA,Wahle,00:06:39.00



London,1908,100m Backstroke,Men,Swimming,GER,Bieberstein,00:01:24.60
